Angle Step (deg),Min Radius,Avg Gen Time (s),Avg Path Length,Success Rate,Avg Nodes
1,0.2,7.634946823120117,17.813585970450063,1.0,791.6666666666666
1,0.4,1.3759605884552002,17.522744473660428,1.0,282.0
1,0.6,0.5061043898264567,9.200101210412095,0.11333333333333333,42.333333333333336
1,0.8,0.28932658831278485,2.1480237992149296,0.013333333333333334,10.0
1,1.0,0.15814614295959473,2.314018158682292,0.006666666666666667,4.0
1,1.2,0.11722056070963542,2.294394299755627,0.006666666666666667,2.6666666666666665
3,0.2,6.74283234278361,17.667581302140782,1.0,774.3333333333334
3,0.4,1.098752737045288,17.62628873645285,1.0,281.0
3,0.6,0.408615509668986,5.471270124602655,0.09333333333333334,38.0
3,0.8,0.2076876163482666,2.283274509059955,0.006666666666666667,9.0
3,1.0,0.07512203852335612,1.9914108846428478,0.013333333333333334,4.0
3,1.2,0.05031180381774902,1.9933368595441612,0.013333333333333334,3.0
6,0.2,5.546191215515137,17.51227183128994,1.0,721.0
6,0.4,0.9470957120259603,17.531829241411966,1.0,266.0
6,0.6,0.33397793769836426,14.013669071628101,0.3066666666666667,63.666666666666664
6,0.8,0.13395285606384277,2.25150588970147,0.013333333333333334,10.0
6,1.0,0.060806830724080406,1.734289804804404,0.006666666666666667,3.3333333333333335
6,1.2,0.03949244817097982,2.282764934065604,0.006666666666666667,3.3333333333333335
9,0.2,5.582020839055379,17.592072836629015,1.0,730.3333333333334
9,0.4,0.8104135990142822,17.55243098381055,1.0,251.66666666666666
9,0.6,0.3034648895263672,9.277277013261683,0.16666666666666666,49.0
9,0.8,0.10882679621378581,2.563970297638345,0.006666666666666667,9.333333333333334
9,1.0,0.056755781173706055,,0.0,4.333333333333333
9,1.2,0.0323486328125,,0.0,3.0
12,0.2,4.895832459131877,17.698053591683802,1.0,694.3333333333334
12,0.4,0.7659746805826823,17.612135698305842,1.0,243.66666666666666
12,0.6,0.26216403643290204,14.172803084188056,0.3666666666666667,67.66666666666667
12,0.8,0.1350430647532145,4.810125376507063,0.02666666666666667,11.666666666666666
12,1.0,0.046055237452189125,,0.0,4.0
12,1.2,0.03009454409281413,2.2767513293478725,0.006666666666666667,3.3333333333333335
15,0.2,5.088003238042195,17.595601560984356,1.0,709.0
15,0.4,0.6942598819732666,17.598935430315134,1.0,234.0
15,0.6,0.26079591115315753,12.636570276140894,0.22666666666666666,56.666666666666664
15,0.8,0.08092371622721355,4.473379983977124,0.013333333333333334,10.0
15,1.0,0.039568583170572914,1.748446187603268,0.006666666666666667,5.0
15,1.2,0.02377923329671224,,0.0,2.6666666666666665
